Date,Time (UTC),rad(m),bat(V),ras(m),sw1(min),sw2(min)
2019-09-03,2019-09-03 11:59:30.000000000,0.06094722222222204,12.602510460251047,4.875195833333334,0.0,32.8744769874477
2019-09-04,2019-09-04 11:59:30.000000000,0.06117708333333317,12.600000000000001,4.874829166666667,0.0,33.8235294117647
2019-09-05,2019-09-05 11:59:30.000000000,0.06875763888888872,12.591666666666667,4.882712499999999,0.0,34.708333333333336
2019-09-06,2019-09-06 11:59:30.000000000,0.044243055555555376,12.590336134453782,4.860379166666666,0.0,37.833333333333336
2019-09-07,2019-09-07 11:59:30.000000000,0.013752777777777597,12.557383966244725,4.830491666666666,0.0,45.0210970464135
2019-09-08,2019-09-08 11:59:30.000000000,-0.009415972222222398,12.54937238493724,4.806870833333333,0.0,48.15899581589958
2019-09-09,2019-09-09 11:59:30.000000000,-0.02396319444444462,12.569583333333332,4.7922416666666665,0.0,52.166666666666664
2019-09-10,2019-09-10 11:59:30.000000000,-0.023206250000000175,12.593723849372385,4.792279166666666,0.0,45.14644351464435
2019-09-11,2019-09-11 11:59:30.000000000,-0.00480694444444462,12.600421940928271,4.812591666666666,0.0,39.345991561181435
2019-09-12,2019-09-12 11:59:30.000000000,-0.009279166666666845,12.526050420168067,4.8085875,0.0,36.44957983193277
2019-09-13,2019-09-13 11:59:30.000000000,0.007949999999999827,12.54644351464435,4.825983333333334,0.0,35.02092050209205
2019-09-14,2019-09-14 12:01:03.776223744,0.03803575688206459,12.578297872340427,4.8479624999999995,0.0,33.87234042553192
2019-09-15,2019-09-15 11:59:30.000000000,0.04604652777777759,12.591101694915254,4.864175,0.0,33.19327731092437
2019-09-16,2019-09-16 11:59:15.888501760,0.04998018548479167,12.578205128205129,4.868383333333333,0.0,32.99145299145299
2019-09-17,2019-09-17 12:00:39.930313472,0.05484081266249204,12.573305084745764,4.8719166666666665,0.0,33.90677966101695
2019-09-18,2019-09-18 12:00:53.706293760,0.03354484779115549,12.569527896995707,4.853495833333333,0.0,34.506437768240346
2019-09-19,2019-09-19 11:59:56.027874560,0.02994185795865927,12.589177489177489,4.853933333333333,0.0,35.27272727272727
2019-09-20,2019-09-20 11:59:30.000000000,0.050129861111110924,12.58468085106383,4.864841666666666,0.0,35.61702127659574
2019-09-21,2019-09-21 11:59:30.000000000,0.029014583333333156,12.58744769874477,4.844849999999999,0.0,38.36820083682009
2019-09-22,2019-09-22 11:59:30.000000000,0.022356249999999817,12.559322033898304,4.838979166666666,0.0,44.91525423728814
2019-09-23,2019-09-23 11:59:30.000000000,0.016222222222222055,12.595338983050848,4.8327583333333335,0.0,44.44915254237288
2019-09-24,2019-09-24 11:59:24.668989440,0.0013348893175442968,12.588936170212767,4.817845833333333,0.0,49.067796610169495
2019-09-25,2019-09-25 11:58:39.512195072,0.010782972941237664,12.592274678111588,4.827533333333333,0.0,44.85407725321888
2019-09-26,2019-09-26 11:59:30.000000000,-0.00878750000000017,12.595762711864406,4.808925,0.0,38.728813559322035
2019-09-27,2019-09-27 11:59:30.000000000,-0.03478125000000018,12.58125,4.783191666666666,0.0,36.583333333333336
2019-09-28,2019-09-28 11:59:30.000000000,-0.005204166666666848,12.582478632478633,4.812070833333333,0.0,34.26068376068376
2019-09-29,2019-09-29 11:59:30.000000000,0.010584722222222051,12.573529411764707,4.826591666666667,0.24267782426778242,32.76150627615063
2019-09-30,2019-09-30 11:59:30.000000000,0.020524305555555376,12.595416666666667,4.832891666666667,0.0,32.666666666666664
2019-10-01,2019-10-01 11:59:30.000000000,0.005214583333333336,,,,
2019-10-02,2019-10-02 11:59:30.000000000,-0.0014875000000000027,,,,
2019-10-03,2019-10-03 11:59:30.000000000,-0.013859027777777788,,,,
2019-10-04,2019-10-04 11:59:30.000000000,-0.02302222222222222,,,,
2019-10-05,2019-10-05 11:59:30.000000000,0.00013958333333332474,,,,
2019-10-06,2019-10-06 11:59:30.000000000,-0.008341666666666676,,,,
2019-10-07,2019-10-07 11:59:30.000000000,-0.018594444444444438,,,,
2019-10-08,2019-10-08 11:59:30.000000000,-0.024779166666666665,,,,
2019-10-09,2019-10-09 11:59:30.000000000,-0.0164,,,,
2019-10-10,2019-10-10 12:01:40.706713856,0.0026254878499506807,,,,
2019-10-11,2019-10-11 11:57:41.811846656,-0.0004951825355149609,,,,
2019-10-12,2019-10-12 11:59:30.000000000,0.018821527777777784,,,,
2019-10-13,2019-10-13 11:59:30.000000000,0.005761805555555561,,,,
2019-10-14,2019-10-14 11:59:30.000000000,-0.006154861111111109,,,,
2019-10-15,2019-10-15 11:59:30.000000000,-0.00931041666666667,,,,
2019-10-16,2019-10-16 11:59:30.000000000,0.02408541666666667,,,,
2019-10-17,2019-10-17 11:59:30.000000000,0.03195972222222222,,,,
2019-10-18,2019-10-18 11:59:30.000000000,0.028532638888888885,,,,
2019-10-19,2019-10-19 11:59:30.000000000,0.04203333333333336,,,,
2019-10-20,2019-10-20 11:59:30.000000000,0.02235902777777777,,,,
2019-10-21,2019-10-21 11:59:30.000000000,0.038847916666666676,,,,
2019-10-22,2019-10-22 11:59:30.000000000,0.05103402777777779,,,,
2019-10-23,2019-10-23 11:59:30.000000000,0.02268055555555558,,,,
2019-10-24,2019-10-24 12:00:37.421602816,0.028286698997586086,,,,
2019-10-25,2019-10-25 11:59:30.000000000,0.0041513888888888946,,,,
2019-10-26,2019-10-26 11:59:30.000000000,0.0021625000000000047,,,,
2019-10-27,2019-10-27 12:16:16.168691968,-0.09938505754661305,,,,
2019-10-28,2019-10-28 11:59:30.000000000,-0.08003333333333332,,,,
2019-10-29,2019-10-29 11:59:30.000000000,-0.04467291666666667,,,,
2019-10-30,2019-10-30 11:59:30.000000000,-0.02695347222222223,,,,
2019-10-31,2019-10-31 11:59:35.958188288,-0.038076367204504497,,,,
2019-11-01,2019-11-01 11:59:30.000000000,-0.08767847222222247,,,,
2019-11-02,2019-11-02 11:59:30.000000000,-0.07353263888888914,,,,
2019-11-03,2019-11-03 11:59:30.000000000,-0.11146250000000024,,,,
2019-11-04,2019-11-04 11:59:30.000000000,-0.05463888888888914,,,,
2019-11-05,2019-11-05 11:59:30.000000000,-0.047695138888889134,,,,
2019-11-06,2019-11-06 11:59:30.000000000,-0.055171527777778014,,,,
2019-11-07,2019-11-07 11:59:30.000000000,-0.031092361111111366,,,,
2019-11-08,2019-11-08 11:59:30.000000000,-0.05903541666666692,,,,
2019-11-09,2019-11-09 11:59:30.000000000,-0.0348868055555558,,,,
2019-11-10,2019-11-10 11:59:30.000000000,-0.0521243055555558,,,,
2019-11-11,2019-11-11 11:59:30.000000000,-0.040883333333333584,,,,
2019-11-12,2019-11-12 11:59:30.000000000,-0.03772430555555581,,,,
2019-11-13,2019-11-13 11:59:30.000000000,-0.019677777777778037,,,,
2019-11-14,2019-11-14 11:59:30.000000000,-0.006216666666666914,,,,
2019-11-15,2019-11-15 11:59:30.000000000,-0.03491666666666692,,,,
2019-11-16,2019-11-16 11:59:30.000000000,-0.03836319444444469,,,,
2019-11-17,2019-11-17 11:59:30.000000000,-0.03726250000000025,,,,
2019-11-18,2019-11-18 11:58:45.783972096,-0.017225921905252822,,,,
2019-11-19,2019-11-19 11:58:58.327526144,-0.0012635525672737107,,,,
2019-11-20,2019-11-20 11:59:30.000000000,-0.0009437500000002541,,,,
2019-11-21,2019-11-21 11:59:30.000000000,-0.03739722222222246,,,,
2019-11-22,2019-11-22 11:59:30.000000000,-0.020361111111111357,,,,
2019-11-23,2019-11-23 11:59:30.000000000,0.0019618055555553128,,,,
2019-11-24,2019-11-24 11:59:30.000000000,0.004434027777777531,,,,
2019-11-25,2019-11-25 11:59:30.000000000,-0.01607708333333358,,,,
2019-11-26,2019-11-26 11:59:34.703832576,0.005659095516349961,,,,
2019-11-27,2019-11-27 11:59:30.000000000,0.012644444444444188,,,,
2019-11-28,2019-11-28 11:59:30.000000000,0.031206944444444194,,,,
2019-11-29,2019-11-29 11:59:00.836237056,0.052365715725409205,,,,
2019-11-30,2019-11-30 11:59:30.000000000,0.05190833333333309,,,,
2019-12-01,2019-12-01 11:57:57.482517504,-0.018392844017460552,,,,
2019-12-02,2019-12-02 11:59:30.000000000,-0.05014444444444476,,,,
2019-12-03,2019-12-03 11:59:30.000000000,-0.030261111111111433,,,,
2019-12-04,2019-12-04 11:59:30.000000000,-0.04469652777777809,,,,
2019-12-05,2019-12-05 11:59:30.000000000,-0.024070833333333652,,,,
2019-12-06,2019-12-06 11:59:30.000000000,-0.04196319444444476,,,,
2019-12-07,2019-12-07 11:59:30.000000000,-0.024709027777778097,,,,
2019-12-08,2019-12-08 11:59:30.000000000,-0.03900416666666699,,,,
2019-12-09,2019-12-09 11:59:30.000000000,-0.03160416666666699,,,,
2019-12-10,2019-12-10 11:59:30.000000000,-0.06545347222222254,,,,
2019-12-11,2019-12-11 11:59:30.000000000,-0.034111111111111425,,,,
2019-12-12,2019-12-12 11:59:30.000000000,-0.02904166666666698,,,,
2019-12-13,2019-12-13 11:59:30.000000000,-0.03295833333333365,,,,
2019-12-14,2019-12-14 11:59:30.000000000,-0.01991805555555588,,,,
2019-12-15,2019-12-15 11:59:30.000000000,-0.037997916666666985,,,,
2019-12-16,2019-12-16 11:59:30.000000000,-0.011679166666666982,,,,
2019-12-17,2019-12-17 11:59:49.756097536,-0.030180058168978757,,,,
2019-12-18,2019-12-18 11:59:30.000000000,-0.01639930555555587,,,,
2019-12-19,2019-12-19 11:59:30.000000000,-0.004546527777778097,,,,
2019-12-20,2019-12-20 11:58:48.292682752,0.004061056813599634,,,,
2019-12-21,2019-12-21 11:59:30.000000000,-0.005125000000000325,,,,
2019-12-22,2019-12-22 11:59:30.000000000,-0.008957638888889213,,,,
2019-12-23,2019-12-23 11:59:30.000000000,-0.02804236111111143,,,,
2019-12-24,2019-12-24 11:58:10.662020864,-0.003373089527863783,,,,
2019-12-25,2019-12-25 11:59:30.000000000,-0.0056340277777781,,,,
2019-12-26,2019-12-26 11:59:30.000000000,-0.012780555555555876,,,,
2019-12-27,2019-12-27 11:59:30.000000000,-0.0158652777777781,,,,
2019-12-28,2019-12-28 12:03:27.824838400,0.028460384560381264,,,,
2019-12-29,2019-12-29 11:59:30.000000000,-0.007335416666666984,,,,
2019-12-30,2019-12-30 11:59:30.000000000,0.03444513888888856,,,,
2019-12-31,2019-12-31 11:59:30.000000000,0.06995902777777746,,,,
